FIPS,County,State,Population,Median Income,Income Percentile,% White,% Black,% Hispanic,% Foreign Born,% Bachelor's or Higher,Colleges < 25 km,Colleges < 50 km,Colleges < 75 km,Colleges < 100 km
1001,Autauga County,AL,55416,55317,0.741,75.4,18.9,2.7,2.1,25,1,10,15,27
1003,Baldwin County,AL,208563,52562,0.6646,83.1,9.5,4.4,3.2,30.7,1,16,24,31
1005,Barbour County,AL,25965,33368,0.0617,45.7,47.8,4.2,2.7,12,0,1,7,17
1007,Bibb County,AL,22643,43404,0.3308,74.6,22.0,2.4,1.0,13.2,1,7,30,38
1009,Blount County,AL,57704,47412,0.4785,87.4,1.5,9.0,4.5,13.1,2,12,30,39
1011,Bullock County,AL,10362,29655,0.0244,21.6,75.6,0.3,1.8,13.4,1,2,10,18
1013,Butler County,AL,19998,36326,0.1154,52.2,44.7,0.3,1.0,16.1,0,2,6,22
1015,Calhoun County,AL,114611,43686,0.3417,72.7,20.4,3.6,2.6,17.9,0,3,17,40
1017,Chambers County,AL,33843,37342,0.1434,56.2,39.3,2.2,1.3,13.3,1,3,12,26
1019,Cherokee County,AL,25725,40041,0.2138,91.8,5.0,1.6,0.7,12.5,0,6,13,24
1021,Chilton County,AL,43941,43501,0.3353,80.4,9.5,7.7,5.1,15.1,1,7,32,47
1023,Choctaw County,AL,12993,32122,0.0464,56.3,42.1,0.5,0.4,11.6,1,6,9,16
1025,Clarke County,AL,24392,33827,0.0687,53.0,45.7,0.2,0.4,13,0,4,12,19
1027,Clay County,AL,13492,37287,0.1419,80.2,14.7,3.1,1.9,10.3,2,5,12,41
1029,Cleburne County,AL,14924,37396,0.145,92.7,2.8,2.4,1.6,12.4,2,7,14,35
1031,Coffee County,AL,51226,49821,0.5606,71.0,17.1,6.7,3.7,22.7,1,3,10,20
1033,Colbert County,AL,54216,45477,0.4024,78.8,15.9,2.4,1.8,18.8,3,5,10,23
1035,Conecuh County,AL,12395,30434,0.0292,50.3,46.3,1.8,0.8,8.8,2,5,9,19
1037,Coosa County,AL,10581,34792,0.082,65.3,33.2,0.1,0.6,11,0,5,22,40
1039,Covington County,AL,37458,39467,0.2004,83.5,13.0,1.6,0.8,15.5,1,3,10,26
1041,Crenshaw County,AL,13913,38937,0.1842,71.2,23.1,1.8,2.1,16.3,0,2,11,19
1043,Cullman County,AL,82471,40997,0.2437,92.3,1.1,4.2,2.8,14.9,2,7,33,46
1045,Dale County,AL,49226,44711,0.3757,69.5,19.2,6.1,2.9,16.8,0,6,13,21
1047,Dallas County,AL,40008,30065,0.027,27.7,70.2,1.0,1.4,14.2,0,4,9,28
1049,DeKalb County,AL,70900,38842,0.1797,80.8,1.4,14.3,7.5,13,1,4,17,27
1051,Elmore County,AL,81799,54981,0.7317,73.4,21.2,2.9,1.8,22.8,2,11,14,24
1053,Escambia County,AL,37728,35026,0.0859,60.2,32.2,2.2,0.8,12.1,3,7,14,36
1055,Etowah County,AL,102564,42064,0.2866,78.3,15.4,3.7,2.9,16.9,3,4,10,44
1057,Fayette County,AL,16546,36541,0.1212,85.0,11.5,1.7,0.7,14.6,1,6,13,37
1059,Franklin County,AL,31628,39501,0.2013,77.7,4.7,16.3,9.7,13.4,1,5,13,23
1061,Geneva County,AL,26614,39293,0.1931,84.0,9.2,3.8,1.5,11.1,1,9,17,24
1063,Greene County,AL,8422,20954,0.0012,17.1,80.3,1.2,0.0,11.4,2,5,12,20
1065,Hale County,AL,14952,34679,0.0798,39.5,58.7,1.3,1.1,14.4,2,6,15,19
